字詞		中文釋義		考題
summer		[名詞] 夏天;夏季		43
sun		[動詞] 曬,曝; 曬太陽; [名詞] 太陽		13
Sunday		[名詞] 星期日		14
sunny		[形容詞] 晴朗的		11
supermarket		[名詞] 超級市場		18
sure		[形容詞] 確定; [副詞] 的確;一定;當然		63
surf		[動詞] 衝浪;在網路或頻道上搜索資料; [名詞] 海浪		1
surprise		[動詞] 使驚奇; [名詞] 意外之事物		10
surprised		[形容詞] 驚訝的		26
sweater		[名詞] 毛衣		3
sweet		[形容詞] 甜的; [名詞] (餐後的)甜點;(用作稱呼語)親愛的,寶貝		12
swim		[動詞] 游泳; [名詞] 游泳;暈眩,眼花;潮流		22
swing		[動詞] 搖擺;揮動; [名詞] 鞦韆;搖擺音樂		
table		[名詞] 桌子;表,目錄		26
tail		[動詞] 尾隨;盯梢;變少,縮小; [名詞] 尾巴		1
Taiwan		[名詞] 台灣		25
take		[動詞] 拿;帶;採用		197
talk		[動詞] 講話; [名詞] 談話;交談;空話;話題;談判		93
tall		[形容詞] 高的		8
tape		[動詞] 用帶子捆紮;用錄音帶為...錄音(或影); [名詞] 錄音帶;錄影帶;膠帶		1
taste		[動詞] 嘗; [名詞] 味道,滋味;體驗;風雅;得體;興趣		14
taxi		[名詞] 計程車		6
tea		[名詞] 茶		15
teach		[動詞] 教		26
teacher		[名詞] 老師		50
team		[動詞] 使合作;結成一隊; [名詞] 隊		18
teenager		[名詞] 十幾歲孩子		6
telephone		[動詞] 打電話,通電話; [名詞] 電話		6
television		[名詞] 電視		
tell		[動詞] 告訴		103
temple		[名詞] 廟宇;神殿		2
ten		[形容詞] 十的; [名詞] 十		21
tennis		[名詞] 網球		8
terrible		[形容詞] 可怕的		16
test		[動詞] 試驗;測驗; [名詞] 測驗;考試		22
than		[介系詞] 比; 超過; [連接詞] 比較		75
thank		[動詞] 感謝; [名詞] 感謝;謝意;謝辭		38
that		[形容詞] 那;那個; [副詞] 那樣,那麼; [連接詞] 以致; [代名詞] 那人;那事		262
that's		[縮短形] that is		36
the		[冠詞] 這		740
theater		[名詞] 戲院;劇院		33
their		[代名詞] (所有格) 他們的		110
theirs		[代名詞] (所有格) 他們的(東西)		4
them		[代名詞] (受格) 他們		109
themselves		[代名詞] (反身代名詞) 他(她,它)們自己		11
then		[形容詞] 當時的; [副詞] 當時;之後;那麼; [名詞] 那時,當時		81
there		[副詞] 在那裡; [名詞] 那個地方,那裡; [代名詞] (用以介紹動詞在主詞之前的句子或子句)		186
there's		[縮短形] there is; there has		15
these		[形容詞] 這些 (this 的複數); [代名詞] 這些		70
they		[代名詞] 他們		164
they'd		[縮短形] they would		
they'll		[縮短形] they will		4
they're		[縮短形] they are		10
they've		[縮短形] they have		2
thick		[形容詞] 粗的;厚的		2
thin		[形容詞] 瘦的		10
thing		[名詞] 事物;東西		84
think		[動詞] 想		150
third		[形容詞] 第三; [副詞] 第三名; [名詞] 第三;三分之一		10
thirsty		[形容詞] 口渴的		6
thirteen		[形容詞] 十三的; [名詞] 十三		
thirty		[形容詞] 三十的; [名詞] 三十		9
this		[形容詞] 這; [副詞] 這麼,這樣地; [代名詞] 這個;這人;這事		233
those		[形容詞] 那些的;那; [代名詞] 那些		37
though		[副詞] (一般放在句尾)然而,還是; [連接詞] 雖然		22
thousand		[形容詞] 千的; [名詞] 千		5
three		[形容詞] 三的; [名詞] 三		56
throat		[名詞] 喉嚨		1
through		[副詞] 穿過,通過;從頭至尾;(電話)接通; [介系詞] 經過		9
throw		[動詞] 投;拋; [名詞] 投擲;披巾;(沙發等的)罩單		6
Thursday		[名詞] 星期四		6
ticket		[動詞] 加標籤於;開違規罰單; [名詞] 票;罰單		26
tidy		[形容詞] 整潔的; [動詞] 使整潔		1
tie		[動詞] 綁;繫; [名詞] 結;領帶;平手		
tiger		[名詞] 老虎		3
time		[動詞] 記錄...的時間;使合拍子; [名詞] 時間;次數		203
tip		[動詞] 給小費;使傾斜; [名詞] 尖端;小費		5
tired		[形容詞] 疲倦的		18
to		[介系詞] 到;向		655
toast		[動詞] 烤;乾杯; [名詞] 烤麵包片		
today		[副詞] 今天; [名詞] 今天		53
toe		[動詞] 用腳尖走(或站); [名詞] 腳趾		
together		[形容詞] 情緒穩定的;時髦的; [副詞] 一同		37
tomato		[名詞] 番茄		4
tomorrow		[副詞] 明天; [名詞] 明天		24
tonight		[副詞] 今夜;今晚; [名詞] 今夜;今晚		15
too		[副詞] 也是;過於		102
tool		[動詞] 使用工具; [名詞] 工具		3
tooth		[名詞] 牙齒		5
top		[形容詞] 最高的; [動詞] 向高處升;達到頂點;高出;超越; [名詞] 頂部; 陀螺		6
topic		[名詞] 論題;話題		1
total		[形容詞] 總的; [動詞] 總計,合計; [名詞] 總額		6
touch		[動詞] 觸摸; [名詞] 觸,碰;接觸;潤色;特長,才能;少許		7
towel		[動詞] 用毛巾擦; [名詞] 毛巾		5
town		[名詞] 城市		47
toy		[動詞] 玩弄,戲耍;調情,調戲; [名詞] 玩具		12
traffic		[動詞] 在...上通行;交易,來來往往; [名詞] 交通		16
train		[動詞] 訓練,培養;瞄準; 接受訓練,鍛鍊; [名詞] 火車		24
trash		[動詞] 修剪(樹等)的枯枝殘葉;丟棄; [名詞] 垃圾		3
treat		[動詞] 對待;治療; [名詞] 款待		6
tree		[名詞] 樹木		28
trick		[動詞] 欺騙; [名詞] 詭計;戲法;惡作劇		5
trip		[動詞] 絆,絆倒;失足,犯錯誤;旅行; [名詞] 旅行		42
trouble		[動詞] 麻煩;煩惱;費心; [名詞] 麻煩		13
truck		[動詞] 用卡車運送; [名詞] 卡車		8
true		[形容詞] 真實的;正確的; [動詞] 配準,擺正; [副詞] 準確地;真實地		35
try		[動詞] 試做; [名詞] 嘗試;努力		71
T-shirt		[名詞] 短袖圓領運動衫		1
Tuesday		[名詞] 星期二		5
turn		[動詞] 轉; [名詞] 輪到		38
turtle		[名詞] 烏龜		2
TV		[縮寫] 電視; [名詞] 電視（機）		29
twelve		[形容詞] 十二的; [名詞] 十二		6
twenty		[形容詞] 二十的; [名詞] 二十		8
twice		[副詞] 兩次		7
two		[形容詞] 二的; [名詞] 二		100
type		[動詞] 打字; [名詞] 類型		2
typhoon		[名詞] 颱風		11
U.S.A.		[縮寫] 美國 (United States of America)		
ugly		[形容詞] 醜的		
umbrella		[名詞] 雨傘		4
uncle		[名詞] 叔叔		10
under		[副詞] 在下面,在下方;從屬地; [介系詞] 在…下面		31
understand		[動詞] 了解		33
unhappy		[形容詞] 不快樂的		9
uniform		[形容詞] 相同的,一致的;不變的; [動詞] 使成一樣;使一律化; [名詞] 制服		5
until		[介系詞] 直到; [連接詞] 直到...時		30
up		[形容詞] 向上的;上行的; [動詞] 提高;增加;舉起;突然站起; [副詞] 向上; [介系詞] 向...上; [名詞] 上升;走運		92
upload		[動詞] 上載,上傳（資訊）; [名詞] 上傳		
us		[代名詞] 我們 (受格)		81
USA		[縮寫] 美國 (United States of America)		3
use		[動詞] 利用; [名詞] 用途		44
useful		[形容詞] 有用的		13
vacation		[動詞] 度假; [名詞] 假期		26
vegetable		[形容詞] 蔬菜的;植物的; [名詞] 蔬菜		8
very		[形容詞] 正是;恰好是;僅僅; [副詞] 很;非常		157
video		[形容詞] 電視的;電視影像的;錄影的; [動詞] 錄製；給…錄影; [名詞] 錄影機;錄影帶		9
violin		[名詞] 小提琴		
visit		[動詞] 訪問; [名詞] 訪問		62
visitor		[名詞] 訪客		4
voice		[動詞] (用言語)表達,說出; [名詞] (人的)聲音		20
wait		[動詞] 等候; [名詞] 等待;等待的時間		42
waiter		[名詞] 男服務生		12
waitress		[名詞] 女服務生		2
wake		[動詞] 叫醒		11
walk		[動詞] 走路; [名詞] 散步;人行道;四壞球保送上一壘		44
wall		[動詞] 用牆圍住; [名詞] 牆		12
wallet		[名詞] 皮夾		6
want		[動詞] 想要; [名詞] 需要的東西;必需品;缺乏;匱乏		152
warm		[形容詞] 溫暖的; [動詞] 使暖和; [名詞] 暖和的地方;取暖,加熱		23
wash		[動詞] 洗; [名詞] 洗,洗滌;要洗的(洗好的)衣服		12
wasn't		[縮短形] was not		6
watch		[動詞] 注意看; [名詞] 手錶		48
water		[動詞] 給...澆水;加水稀釋;流口水; [名詞] 水		41
watermelon		[名詞] 西瓜		2
wave		[動詞] 揮動; [名詞] 波浪		2
way		[副詞] 很、太; [名詞] 方法;路		86
we		[代名詞] 我們		196
weak		[形容詞] 虛弱的		12
wear		[動詞] 穿著, 磨損, 使力竭; [名詞] 穿;戴;佩;磨損		30
weather		[動詞] 經受到;使風化;褪色;損壞; [名詞] 天氣		31
we'd		[縮短形] we had; we would		1
Wednesday		[名詞] 星期三		8
week		[名詞] 星期		68
weekend		[動詞] 度週末; [名詞] 周末		25
welcome		[形容詞] 受歡迎的;令人愉快的;被允許的; [動詞] 歡迎; [名詞] 歡迎,款待;歡迎辭		31
well		[形容詞] 健康的; [副詞] 很好地;充分地; [感歎詞] 啊;那麼; [名詞] 井,水井		101
we'll		[縮短形] we will		13
we're		[縮短形] we are		17
weren't		[縮短形] were not		3
west		[形容詞] 西方的; [副詞] 向西方; [名詞] 西方		1
wet		[形容詞] 潮溼的; [動詞] 把...淋濕,打濕,弄濕;尿濕		6
we've		[縮短形] we have		7
what		[形容詞] 什麼;多麼,何等; [代名詞] 什麼		278
what's		[縮短形] what is		15
when		[副詞] 何時; [連接詞] 當...時;既然;然而; [代名詞] 什麼時候,那時		230
when's		[縮短形] when is		1
where		[副詞] 在哪兒; [連接詞] 在...處;到...的地方;...的地方; [名詞] 哪裡,何處; 地點; [代名詞] 哪裡,何處		63
where's		[縮短形] where is		5
whether		[連接詞] 是否		20
which		[形容詞] 哪一個,哪一些;這個,這些; [代名詞] 哪一個		94
while		[動詞] 消磨(時光),輕鬆地度過; [連接詞] 當...的時候; [名詞] 一會兒		11
white		[形容詞] 白色的; [名詞] 白色		23
who		[代名詞] 誰		119
who'd		[縮短形] who had; who would		
who's		[縮短形] who is; who has		4
whose		[代名詞] 誰的		3
why		[副詞] 為什麼; [連接詞] 為什麼; [名詞] 原因,理由;難解的問題,謎		112
wide		[形容詞] 寬的,廣泛的; [副詞] 張得(或開得)很大地;充分地; [名詞] 歪球,壞球		2
wife		[名詞] 妻子		11
will		[動詞] 將;願,要;能;願意; [助動詞] 將; [名詞] 意志;決心;遺囑		252
win		[動詞] 贏得; [名詞] 獲勝,成功,贏;贏得物		22
wind		[動詞] 纏繞;包,裹;蜿蜒;迂迴; [名詞] 風		15
window		[名詞] 窗戶		10
windy		[形容詞] 多風的		6
winter		[名詞] 冬天;冬季		16
wise		[形容詞] 有智慧的		4
wish		[動詞] 祝福; [名詞] 希望,願望;祝福,祈頌		19
with		[介系詞] 跟...在一起;有		254
without		[副詞] 在沒有(或缺少)的情況下; [介系詞] 沒有		33
woman		[名詞] 女人		28
wonderful		[形容詞] 很棒的;奇妙的		28
won't		[縮短形] will not		20
word		[動詞] 用言詞表達; [名詞] 字		28
work		[動詞] 工作; 運轉; [名詞] 工作,作品		94
workbook		[名詞] 作業簿		3
worker		[名詞] 工人		8
world		[形容詞] 世界的; [名詞] 世界		49
worry		[動詞] 擔心; [名詞] 煩惱;焦慮;擔心		29
wouldn't		[縮短形] would not		11
write		[動詞] 寫		48
writer		[名詞] 作家		27
wrong		[形容詞] 錯誤的; [動詞] 冤枉,委屈;無禮地對待; [副詞] 錯誤地;邪惡地,不正當地; [名詞] 錯誤;不道德;違法,犯罪;壞事		25
yard		[名詞] 庭院;碼(3英呎)		2
yeah		[副詞] 是		10
year		[名詞] 年		116
yellow		[形容詞] 黃色的; [動詞] 使變黃,使發黃; [名詞] 黃色		7
yes		[副詞] 是; [感歎詞] (贊同或喜悅的強烈表達); [名詞] 肯定的回答,同意;贊成票		40
yesterday		[形容詞] 昨天; [副詞] 昨天; [名詞] 昨天;往昔		28
yet		[副詞] 尚未;但是; [連接詞] 然而		17
you		[代名詞] 你;你們		367
you'd		[縮短形] you had; you would		3
you'll		[縮短形] you will		21
young		[形容詞] 年輕的; [名詞] 青年們;雛		44
your		[代名詞] (所有格) 你的;你們的		153
you're		[縮短形] you are		25
yours		[代名詞] (所有格) 你的(東西);你們的(東西)		8
yourself		[代名詞] (反身代名詞) 你自己		16
yourselves		[代名詞] (反身代名詞) 你們自己		
you've		[縮短形] you have		14
yummy		[形容詞] 好吃的		2
zebra		[名詞] 斑馬		
zero		[形容詞] 零的; [動詞] 把...調整歸零; [名詞] 零		
zoo		[名詞] 動物園		9
